SITE_ID,COUNTS
9020335,1404
9019877,1288
9018262,1270
11895,1232
9013207,1168
9019700,1132
9019247,1126
55338,1121
700532,1021
9019251,1010
570559,975
9021202,968
8216,964
9019760,930
305689,904
9013238,904
280139,892
9026914,880
9008695,860
9000178,844
35411,834
9015648,829
37915,828
700651,823
305901,820
9011679,818
9019107,792
9019248,788
9019462,770
9017148,766
9019685,766
9023040,764
9023752,764
9020309,762
9020310,762
9019292,756
9023022,754
9021768,748
9018773,746
9020943,740
401468,734
9023046,718
41036,711
9023091,704
9019209,700
9019211,700
10016800,696
700258,696
9020311,696
9011351,694
9009032,693
134642,692
9017452,692
9017948,692
9020811,690
27937,685
36241,682
9019591,678
133746,676
9018260,676
9019721,672
9010062,670
9019058,668
9813,660
9017644,656
134432,654
9015331,654
9015563,648
9017457,638
24917,636
9002839,636
9018937,630
9017643,627
9018474,626
9023041,622
303604,618
9023047,612
300301,608
9022855,604
9022922,596
9019217,592
9017806,588
134467,586
9017971,584
9017511,580
9027840,578
9027054,576
198325,574
570483,573
9017913,568
700430,562
9012291,556
9019134,556
9027924,552
9019577,548
9021149,548
9018788,544
9019219,544
9018132,540
9019226,539
9010826,536
9015292,536
9019589,532
9019763,530
570766,522
135521,510
9001334,509
9020550,508
9887,504
135636,500
9020216,500
133718,492
9018833,488
11722,481
9019250,480
131069,476
9018129,476
9019458,476
9020559,476
130188,473
18651,469
201625,469
9015336,468
9020220,464
14874,462
9019531,462
133544,458
9017433,458
9020141,454
9022849,454
9018872,452
9019459,450
9019819,450
9012643,444
9017655,444
6855,437
400907,436
401469,436
461097,436
100995,434
130123,434
9013568,434
9017970,434
9019461,434
9010909,430
9011375,430
24135,428
9018199,428
9020815,428
9022853,427
131897,422
204904,422
24676,421
9015351,420
480327,419
51181,419
130214,418
9020843,418
10010022,416
131263,416
9017620,416
9019348,416
9019765,414
130337,412
9022862,410
9022999,408
9023626,408
10005804,404
9018853,402
55609,399
33880,398
150074,397
150677,395
250054,392
303691,392
131930,390
9013536,390
9017456,390
9017817,390
9018436,389
9021148,388
