site,nei_site,distance
10000022,101732,179
10000022,11585,68
10000022,11603,126
10000022,134418,192
10000022,134733,169
10000022,134909,175
10000022,206078,158
10000022,302473,188
10000022,303237,59
10000022,303677,144
10000022,303852,168
10000022,304062,73
10000022,304064,146
10000022,304369,150
10000022,304744,54
10000022,304986,123
10000022,305394,132
10000022,404546,190
10000022,41933,166
10000022,42988,101
10000022,44126,50
10000022,49884,40
10000022,9011366,148
10000022,9011897,47
10000022,9016736,88
10000022,9016777,194
10000022,9020134,134
10000022,9026144,50
10000022,9026417,82
10000842,303074,158
10000842,303994,199
10000842,42940,121
10000842,50673,141
10013707,11678,117
10013707,153622,157
10013707,300394,175
10013707,303732,62
10017350,102017,190
10017350,303002,103
10017350,9015632,172
101229,101238,170
101229,51717,158
101238,101229,170
101280,300457,115
101280,304568,185
101280,50703,196
101280,53689,128
101280,9002003,167
101280,9014209,46
101280,9027790,154
101342,102207,157
101342,11571,181
101342,11600,119
101342,134403,122
101342,134554,106
101342,134941,170
101342,153622,163
101342,206068,35
101342,301208,96
101342,301382,177
101342,301673,87
101342,301693,111
101342,301830,117
101342,302643,170
101342,303652,189
101342,303713,175
101342,304020,148
101342,304024,15
101342,304033,150
101342,44101,94
101342,50669,168
101342,9002988,185
101342,9003154,16
101342,9004443,138
101342,9012940,131
101342,9014605,177
101342,9014989,156
101342,9022245,88
101342,9025986,190
101351,11579,171
101351,11581,185
101351,11599,131
101351,134245,174
101351,134547,88
101351,134857,197
101351,134872,168
101351,136513,66
101351,301205,165
101351,301349,181
101351,301882,130
101351,303991,194
101351,303993,32
101351,303995,95
101351,304363,170
101351,304371,114
101351,37451,87
101351,43436,182
101351,43837,83
101351,49535,188
101351,50670,146
101351,51106,197
101351,9002469,51
101351,9009844,156
101351,9010899,189
101351,9015093,43
101351,9016706,90
101351,9016864,91
101351,9018845,51
101351,9020126,62
101351,9022638,45
101351,9022867,154
101351,9024210,140
101351,9026315,56
101370,134303,155
101370,134841,134
101370,135011,187
101370,135084,197
101370,135143,182
101370,142445,148
101370,301344,154
101370,303158,152
101370,304365,103
101370,304366,183
101370,41982,11
101370,43776,178
101370,47311,85
101370,53484,194
101370,9004163,81
101370,9013019,189
101370,9013618,126
101370,9019257,181
101370,9020994,91
101370,9021309,165
101370,9021374,124
101370,9022122,148
101370,9023256,187
101370,9023347,79
101370,9024000,166
101370,9024393,189
101370,9026103,51
101370,9026551,178
101373,132314,178
101373,133371,188
101373,135045,151
101373,137823,142
101373,140272,165
101373,140407,194
101373,152562,147
101373,206055,182
101373,301138,70
101373,301353,137
101373,301529,142
101373,302516,191
101373,304000,187
101373,304003,142
101373,305273,109
101373,305430,190
101373,306014,189
101373,404315,19
101373,405129,99
101373,42987,181
101373,9002498,166
101373,9003040,200
101373,9009845,120
101373,9010185,132
101373,9010344,144
101373,9011576,160
101373,9016697,133
101373,9016708,160
101373,9016785,176
101373,9021525,163
101373,9022771,165
101373,9023838,184
101373,9023880,136
101373,9024389,200
101381,198327,94
101381,301482,150
101381,301907,152
101381,302854,190
101381,303920,172
101381,304047,90
101381,304996,146
101381,36267,93
101381,38758,91
101381,38812,169
101381,42908,130
101381,461423,161
101381,49655,138
101381,50644,132
101381,9002461,114
101381,9008690,113
101381,9009294,59
101381,9009843,155
101381,9021941,164
101381,9022243,81
101381,9022747,81
101381,9023356,197
101381,9024097,188
101381,9026480,109
101381,9027119,143
101385,101386,145
101385,102207,101
101385,11571,104
101385,134554,200
101385,134822,163
101385,134941,193
101385,135009,40
101385,142163,158
101385,206052,115
101385,206082,188
101385,301356,150
101385,301382,172
101385,301830,150
101385,302643,181
101385,303652,133
101385,303711,183
101385,303712,148
101385,303713,152
101385,304019,13
101385,304434,141
101385,41660,122
101385,43439,86
101385,44101,159
101385,47755,185
101385,50669,170
101385,50678,178
101385,51590,155
101385,51622,131
101385,9002988,109
101385,9003380,167
101385,9004443,127
101385,9009373,112
101385,9012940,145
101385,9014989,177
101385,9017674,173
101385,9022109,21
101385,9024212,82
101385,9027615,120
101386,101385,145
101386,101406,173
101386,11575,88
101386,134822,183
101386,135009,118
101386,142163,51
101386,206052,144
101386,301356,163
101386,303712,60
101386,304019,155
101386,304026,195
101386,304434,78
101386,304991,95
101386,43050,153
101386,43439,61
101386,47755,54
101386,49993,189
101386,50678,69
101386,51622,79
101386,9008249,138
101386,9009373,102
101386,9010789,180
101386,9022109,125
101386,9022424,165
101386,9022640,188
101386,9022769,170
101386,9024212,187
101386,9027615,186
101394,101521,81
101394,11572,150
