site,nei_site,distance,counts
10000022,101732,179,4
10000022,134418,192,4
10000022,134733,169,4
10000022,134909,175,4
10000022,206078,158,4
10000022,302473,188,4
10000022,303852,168,4
10000022,304369,150,4
10000022,404546,190,4
10000022,41933,166,4
10000022,9016777,194,4
10013707,153622,157,8
10013707,300394,175,8
10017350,102017,190,6
10017350,9015632,172,6
101238,101229,170,60
101280,304568,185,46
101280,50703,196,46
101280,9002003,167,46
101280,9027790,154,46
101351,11579,171,15
101351,11581,185,15
101351,134245,174,15
101351,134857,197,15
101351,134872,168,15
101351,301205,165,15
101351,301349,181,15
101351,303991,194,15
101351,304363,170,15
101351,43436,182,15
101351,49535,188,15
101351,51106,197,15
101351,9009844,156,15
101351,9010899,189,15
101351,9022867,154,15
101370,134303,155,89
101370,135011,187,89
101370,135084,197,89
101370,135143,182,89
101370,301344,154,89
101370,303158,152,89
101370,304366,183,89
101370,43776,178,89
101370,53484,194,89
101370,9013019,189,89
101370,9019257,181,89
101370,9021309,165,89
101370,9023256,187,89
101370,9024000,166,89
101370,9024393,189,89
101370,9026551,178,89
101373,132314,178,102
101373,133371,188,102
101373,135045,151,102
101373,140272,165,102
101373,140407,194,102
101373,206055,182,102
101373,302516,191,102
101373,304000,187,102
101373,305430,190,102
101373,306014,189,102
101373,42987,181,102
101373,9002498,166,102
101373,9003040,200,102
101373,9011576,160,102
101373,9016708,160,102
101373,9016785,176,102
101373,9021525,163,102
101373,9022771,165,102
101373,9023838,184,102
101373,9024389,200,102
101381,301482,150,78
101381,301907,152,78
101381,302854,190,78
101381,303920,172,78
101381,38812,169,78
101381,461423,161,78
101381,9009843,155,78
101381,9021941,164,78
101381,9023356,197,78
101381,9024097,188,78
101385,134554,200,78
101385,134822,163,78
101385,134941,193,78
101385,142163,158,78
101385,206082,188,78
101385,301356,150,78
101385,301382,172,78
101385,301830,150,78
101385,302643,181,78
101385,303711,183,78
101385,303713,152,78
101385,44101,159,78
101385,47755,185,78
101385,50669,170,78
101385,50678,178,78
101385,51590,155,78
101385,9003380,167,78
101385,9014989,177,78
101385,9017674,173,78
101386,101406,173,80
101386,134822,183,80
101386,301356,163,80
101386,304019,155,80
101386,304026,195,80
101386,43050,153,80
101386,49993,189,80
101386,9010789,180,80
101386,9022424,165,80
101386,9022640,188,80
101386,9022769,170,80
101386,9024212,187,80
101386,9027615,186,80
101413,135330,198,52
101413,206052,166,52
101413,52007,193,52
101413,9004238,178,52
101413,9013748,178,52
101413,9015666,180,52
101413,9024212,162,52
101413,9028229,197,52
101418,138060,192,40
101418,300467,185,40
101418,301388,156,40
101418,301645,163,40
101418,302029,163,40
101418,303861,186,40
101418,304046,161,40
101418,304990,159,40
101418,44125,178,40
101418,49639,189,40
101418,9022120,168,40
101418,9026611,180,40
101418,9026898,197,40
101418,9028157,167,40
101418,9028229,182,40
101496,130989,196,88
101496,131376,195,88
101496,302923,188,88
101496,304060,170,88
101496,42911,158,88
101496,50970,155,88
101496,51591,151,88
101521,11573,175,27
101521,11575,198,27
101521,130005,187,27
101521,132314,178,27
101521,134454,162,27
101521,134906,150,27
101521,137823,195,27
101521,206055,155,27
101521,9015484,183,27
101521,9019968,197,27
101521,9022424,177,27
101521,9022640,192,27
101521,9023838,197,27
101579,135213,162,76
101579,301243,179,76
101579,304993,198,76
101579,9008334,162,76
101579,9022094,182,76
101636,135045,159,2
101636,135143,179,2
101636,137270,186,2
101636,301529,168,2
101636,301885,156,2
101636,302591,152,2
101636,9002498,152,2
101636,9011518,182,2
101636,9021374,195,2
101636,9023347,164,2
101636,9023879,179,2
101636,9026103,189,2
101664,132242,197,92
101664,134574,183,92
101664,136668,158,92
101664,301357,192,92
101664,302217,160,92
101664,303721,158,92
101664,304011,186,92
101664,43440,152,92
101664,9002487,190,92
101664,9004030,173,92
101664,9009953,178,92
101664,9015484,197,92
101664,9023124,195,92
101664,9023328,187,92
101664,9027505,164,92
101666,11603,195,33
101666,131140,191,33
101666,134418,150,33
101666,301388,185,33
101666,303677,191,33
101666,304054,168,33
101666,305394,161,33
101666,44125,156,33
101666,9004106,168,33
101666,9028157,168,33
101731,11603,177,15
101731,135237,164,15
101731,301388,156,15
101731,303677,163,15
101731,403555,198,15
101731,41933,175,15
101731,44125,170,15
101731,49639,159,15
101731,9002468,187,15
101731,9008724,196,15
101731,9009285,173,15
101731,9011366,178,15
101731,9011994,182,15
101731,9016537,193,15
101731,9020097,176,15
101731,9024259,162,15
101731,9025955,174,15
101731,9025987,154,15
101731,9026375,188,15
101731,9028157,152,15
101732,10000022,179,54
101732,11602,195,54
101732,130004,156,54
101732,134453,197,54
101732,206078,152,54
101732,301366,183,54
