SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2
10000022,-37.814712,144.974322,17 Spring St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
10000842,-37.807681,144.956803,Broadcast site Queen Victoria Markets Elizabeth Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
10013707,-37.82017,144.965093,Light Pole Southbank Promenade Southgate Avenue SOUTH MELBOURNE,VIC,2,3205,Within 10 meters,,KX3P
10017350,-37.840547,144.930275,115 Beach St PORT MELBOURNE,VIC,2,3207,Within 10 meters,,KX3P
101052,-37.840901,144.907661,Webb Dock Swanton St MELBOURNE,VIC,2,3207,Within 100 meters,,KX3P
101229,-37.82835,144.948735,Hutchison Site cnr Normanby Rd & Montague St SOUTH MELBOURNE,VIC,2,3205,Within 10 meters,,KX3P
101238,-37.827986,144.950608,Hutchison Site 179-185 Normandy Rd SOUTH MELBOURNE,VIC,2,3205,Unknown,,KX3P
101280,-37.851399,144.979339,Vodafone/Hutchison Site Zurich Building 71 Queens St MELBOURNE,VIC,2,3004,Unknown,15,KX3P
101342,-37.817596,144.963642,321 Flinders Lane (Grand Mercure Hotel) MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
101351,-37.819266,144.955985,Hutchison Site Wilson Car Park 522 Flinders Lane MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
101370,-37.813634,144.952846,William Angliss Building D 555 La Trobe St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
101373,-37.811269,144.957909,Empire Apartments 402-408 La Trobe Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
101381,-37.809081,144.96893,CMTS Site 287-293 Exhibition St MELBOURNE,VIC,2,3000,Within 10 meters,28,KX3P
101385,-37.815461,144.962656,Benjamin House 358-360 Little Collins St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
101386,-37.814155,144.962703,IOOF Bld 380-382 Bourke Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
101394,-37.811742,144.961247,AAPT Site 380 Lonsdale St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
101406,-37.813419,144.964439,Myer South Roof 280-284 Little Bourke St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
101407,-37.829726,144.970444,Commonwealth Bank 324 St Kilda Rd MELBOURNE,VIC,2,3205,Unknown,,KX3P
101413,-37.816003,144.965333,Centre Way Arcade 259 - 263 Collins Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
101418,-37.814914,144.967521,182 Collins Street Oakford on Collins MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
101496,-37.808659,144.973701,8 Nicholson Street EAST MELBOURNE,VIC,2,3002,Within 10 meters,35,KX3P
101521,-37.812465,144.961398,Euro Asia House 388 Lonsdale St MELBOURNE,VIC,2,3000,Unknown,,KX3P
101579,-37.81097,144.972911,157 Spring St MELBOURNE,VIC,2,3000,Unknown,,KX3P
101636,-37.81285,144.955026,CGU Bldg 485 La Trobe Street MELBOURNE,VIC,2,3000,Unknown,,KX3P
101637,-37.815796,144.966407,Wales House 221-227 Collins St MELBOURNE,VIC,2,3000,Unknown,,KX3P
101664,-37.810431,144.963101,Hutchison Site 211 La Trobe St MELBOURNE,VIC,2,3000,Unknown,21,KX3P
101666,-37.815375,144.971246,Hutchison Site 111 Flinders Lane MELBOURNE,VIC,2,3000,Unknown,,KX3P
101731,-37.814343,144.970979,Telstra Site 111 Collins St MELBOURNE,VIC,2,3000,Unknown,,KX3P
101732,-37.813477,144.973013,Hutchison Site 24 Collins St MELBOURNE,VIC,2,3000,Unknown,,KX3P
101741,-37.81668,144.95759,Telstra Site 111 William St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
101798,-37.840626,144.976986,VACC House 464 St Kilda Road MELBOURNE,VIC,2,3004,Unknown,,KX3P
101805,-37.814845,144.958322,Hutchison Site 493-495 Little Bourke St MELBOURNE,VIC,2,3000,Unknown,,KX3P
101818,-37.836767,144.974785,Illoura Plaza 424 St Kilda Rd MELBOURNE,VIC,2,3004,Unknown,,KX3P
101826,-37.836723,144.967468,APESMA 163 Eastern Rd SOUTH MELBOURNE,VIC,2,3205,Unknown,,KX3P
101830,-37.820684,144.984937,Hutchison Site Great Southern Stand MCG Brunton Ave EAST MELBOURNE,VIC,2,3002,Within 10 meters,14,KX3P
101868,-37.804635,144.946961,Hutchison Site 570 Victoria St NORTH MELBOURNE,VIC,2,3051,Unknown,,KX3P
101925,-37.831492,144.944932,Telstra Site cnr Normanby Rd & Ingles St PORT MELBOURNE,VIC,2,3207,Unknown,,KX3P
102017,-37.840519,144.932432,Telstra Site 103 Beach St PORT MELBOURNE,VIC,2,3207,Unknown,,KX3P
102171,-37.832231,144.970966,AAPT Site 380 St Kilda Rd MELBOURNE,VIC,2,3205,Within 10 meters,21,KX3P
102172,-37.816868,144.968467,AAPT Site 196 Flinders St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
102174,-37.816599,144.9534,AAPT Site 670-690 Bourke St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
102196,-37.828668,144.944216,Council Depot 69 White Street SOUTH MELBOURNE,VIC,2,3205,Within 100 meters,,KX3P
102207,-37.816364,144.962767,AAPT Site 350 Collins St MELBOURNE,VIC,2,3000,Unknown,,KX3P
11569,-37.821822,144.955233,World Trade Centre Building C cnr Flinders & Spencer Sts MELBOURNE,VIC,2,3005,Within 10 meters,4,KX3P
11571,-37.816356,144.962313,360 Collins St Collins Wales Building MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
11572,-37.810539,144.962019,North Comms Mast  Melbourne Central Tower 360 Elizabeth Street MELBOURNE,VIC,2,3000,Within 10 meters,22,KX3P
11573,-37.811038,144.962232,South Comms Tower  Melbourne Central Tower 360 Elizabeth Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
11575,-37.813489,144.963244,GPO cnr Bourke Street & Elizabeth Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
11579,-37.818071,144.957211,Stock Exchange Bldg 530 Collins Street MELBOURNE,VIC,2,3000,Within 10 meters,10,KX3P
11581,-37.818202,144.954367,625 Lt Collins St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
11584,-37.854715,144.981431,636 St Kilda Rd MELBOURNE,VIC,2,3004,Within 10 meters,,KX3P
11585,-37.815263,144.974668,Shell House 1 Spring Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
11588,-37.808935,144.973534,1 Nicholson Street Orica Building MELBOURNE,VIC,2,3002,Within 10 meters,,KX3P
11590,-37.814225,144.971971,ANZ Bank Tower 55 Collins Street MELBOURNE,VIC,2,3000,Within 10 meters,15,KX3P
11591,-37.815975,144.955905,Bourke Place 600 Bourke Street MELBOURNE,VIC,2,3000,Within 10 meters,14,KX3P
11593,-37.815493,144.956714,Marland House 570 Bourke Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
11594,-37.815257,144.958708,500 Bourke Street National Bank House MELBOURNE,VIC,2,3000,Within 10 meters,16,KX3P
11596,-37.813822,144.969482,120 Collins Street MELBOURNE,VIC,2,3000,Within 10 meters,15,KX3P
11597,-37.814922,144.970588,Broadcast/Comms Tower  Roof 101 Collins Street MELBOURNE,VIC,2,3000,Within 10 meters,14,KX3P
11599,-37.81852,144.957141,Rialto Towers 525 Collins Street MELBOURNE,VIC,2,3000,Within 10 meters,9,KX3P
11600,-37.817303,144.962344,367 Collins Street Optus Centre MELBOURNE,VIC,2,3000,Within 10 meters,8,KX3P
11601,-37.818162,144.959934,Optus Site National Mutual Building 447 Collins St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
11602,-37.813529,144.970797,80 Collins St Nauru House MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
11603,-37.814288,144.972991,35 Collins Street Hotel Sofitel MELBOURNE,VIC,2,3000,Within 10 meters,16,KX3P
11606,-37.822208,144.954143,World Trade Centre Building B cnr Flinders & Spencer Sts MELBOURNE,VIC,2,3005,Within 10 meters,,KX3P
11608,-37.822278,144.955561,World Trade Centre Centra Hotel cnr Flinders & Spencer Sts MELBOURNE,VIC,2,3005,Within 10 meters,4,KX3P
11609,-37.822049,144.95534,Melbourne Convention Centre cnr Flinders and Spencer Sts MELBOURNE,VIC,2,3005,Within 10 meters,,KX3P
11678,-37.820893,144.964119,Building 3 / 6 Riverside Quay SOUTH MELBOURNE,VIC,2,3205,Within 10 meters,,KX3P
130004,-37.814538,144.971848,Vodafone Site 63 Exhibition St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
130005,-37.813381,144.959612,CMTS Site 235 Queen St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
130154,-37.818162,144.980268,Optus/Vodafone Site Jolimont St EAST MELBOURNE,VIC,2,3002,Unknown,12,KX3P
130438,-37.822782,144.964942,101 City Road SOUTH MELBOURNE,VIC,2,3205,Within 10 meters,7,KX3P
130439,-37.812084,144.967997,CMTS Site 180 Russell St MELBOURNE,VIC,2,3000,Within 10 meters,18,KX3P
130989,-37.810421,144.973494,Telstra Site 360 Elizabeth St MELBOURNE,VIC,2,3002,Unknown,,KX3P
131140,-37.813679,144.971645,Reserve Bank 60 Collins St MELBOURNE,VIC,2,3000,Within 10 meters,17,KX3P
131246,-37.843554,144.961223,Melbourne Sports and Aquatic Centre Albert Road ALBERT PARK,VIC,2,3206,Within 10 meters,,KX3P
131376,-37.808765,144.971494,Cnr Exhibition and Lonsdale Street MELBOURNE,VIC,2,3000,Unknown,,KX3P
131377,-37.812222,144.983895,126 Clarendon Street EAST MELBOURNE,VIC,2,3002,Unknown,,KX3P
131819,-37.83352,144.96489,Telstra Site 2-4 Heather St SOUTH MELBOURNE,VIC,2,3205,Within 100 meters,14,KX3P
131975,-37.830983,144.963842,63 Tope Street SOUTH MELBOURNE,VIC,2,3205,Unknown,,KX3P
132152,-37.803881,144.954841,AAPT Site St Josephs College 385 Queensberry St NORTH MELBOURNE,VIC,2,3051,Within 10 meters,,KX3P
132154,-37.835307,144.995335,AAPT Site Melbourne High School Forrest Hill SOUTH YARRA,VIC,2,3141,Within 10 meters,,KX3P
132155,-37.809131,144.979685,Level 3 232 Victoria Parade MELBOURNE,VIC,2,3002,Within 10 meters,,KX3P
132156,-37.836094,144.971815,AAPT Site Mac Robertson Girls School 350 Kingsway MELBOURNE,VIC,2,3004,Within 10 meters,,KX3P
132157,-37.849804,144.982497,Victorian College for the Deaf 597 St Kilda Road MELBOURNE,VIC,2,3181,Within 10 meters,,KX3P
132158,-37.835601,144.96984,AAPT Site 114 Albert Rd SOUTH MELBOURNE,VIC,2,3205,Within 10 meters,,KX3P
132159,-37.801723,144.955162,AAPT Site 14-16 Blackwood St NORTH MELBOURNE,VIC,2,3051,Within 10 meters,26,KX3P
132163,-37.796658,144.942185,CSC Public Records 99 Shiel Street NORTH MELBOURNE,VIC,2,3051,Within 10 meters,,KX3P
132199,-37.84212,144.960115,DEET Distance Education Albert Rd SOUTH MELBOURNE,VIC,2,3205,Unknown,,KX3P
132205,-37.814658,144.955828,Department of Justice 565 Lonsdale Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
132242,-37.812123,144.962418,Hutchison 3G test site 388 Lonsdale St MELBOURNE,VIC,2,3000,Unknown,20,KX3P
132314,-37.812376,144.959378,Department of Natural Resources 283 Queen Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
132959,-37.815748,144.968805,ACMI Building Federation Square Flinders Lane MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
133216,-37.810979,144.966884,Telstra Site Undercroft mezzanine Level BHPB Tower 186 Lonsdale St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
133314,-37.804723,144.955046,141 Capel Street NORTH MELBOURNE,VIC,2,3051,Within 10 meters,,KX3P
133371,-37.812003,144.959833,254-260 Queen Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
133491,-37.839481,144.975881,421 St Kilda Road MELBOURNE,VIC,2,3004,Unknown,,KX3P
133978,-37.819708,144.960199,Supreme Court of Victoria 210 William Street MELBOURNE,VIC,2,3000,Unknown,,KX3P
134039,-37.835316,144.974745,City Condos 416 St Kilda Road MELBOURNE,VIC,2,3004,Within 10 meters,22,KX3P
134040,-37.819694,144.984453,MCG Irrigation Room Brunton Avenue MELBOURNE,VIC,2,3002,Within 10 meters,,KX3P
134245,-37.818494,144.957705,Optus Site Rialto 525 Collins Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134303,-37.812404,144.953686,Optus Site Minicell - King & Latrobe 450 Latrobe St MELBOURNE,VIC,2,3003,Within 10 meters,,KX3P
134317,-37.812122,144.97071,Optus Site CBD123 Cnr Bourkr & Exhibition Streets MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134329,-37.811625,144.964919,Optus Site Lonsdale/Swanston 253 Lonsdale St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134360,-37.814263,144.972105,Optus Site 101 Collins St (Pac Dun) 101 Collins St MELBOURNE,VIC,2,3000,Within 10 meters,15,KX3P
134386,-37.815549,144.966686,Optus Site Collins & Swanston Cnr Collins & Swanston Sts MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134403,-37.818166,144.964831,Optus Site Flinders/Elizabeth 1 Elizabeth St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134418,-37.815943,144.972798,Optus Site 8 Exhibition St IBC 8 Exhibition St MELBOURNE,VIC,2,3004,Within 10 meters,,KX3P
134449,-37.817384,144.959217,Optus Site Melbourne City West 454 Collins St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134453,-37.814896,144.971668,Optus Site Collins PLace/ANZ Tower 55 Collins St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134454,-37.811126,144.962116,Optus Site Melbourne Central Tower 360 Elizabeth St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134462,-37.822656,144.964912,Optus Site Southgate 101 City Rd SOUTH MELBOURNE,VIC,2,3006,Within 10 meters,,KX3P
134547,-37.818656,144.956626,Optus Site Minicell - King & Collins 539-557 Collins St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134554,-37.817261,144.962515,Optus Site Bridge Information Systems 367 Collins St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134565,-37.812845,144.968248,Optus Site Bourke/Russell 175 Bourke St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134574,-37.811978,144.962388,Optus Site Lonsdale/Elizabeth Elizabeth & Lonsdale MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134588,-37.806492,144.965083,Optus Site RMIT 80-92 Victoria Street MELBOURNE,VIC,2,3053,Within 10 meters,,KX3P
134637,-37.809143,144.952209,Optus Site Minicell - King & Dudley 1 Cnr King and Dudley MELBOURNE,VIC,2,3003,Within 10 meters,,KX3P
134663,-37.809456,144.963536,Optus Site Minicell - Swanston & Latrobe 188-196 Latrobe Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134680,-37.812723,144.960164,Optus Site Queen St 250 Queen St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134733,-37.813463,144.973217,Optus Site Minicell - Spring & Collins 14-16 Collins St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134754,-37.810996,144.967095,Optus Site Minicell - Lonsdale & Russell 177-183 Lonsdale St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134822,-37.814989,144.960908,Optus Site Bourke/Queen St Bourke & Queen Sts MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134836,-37.816987,144.952912,Optus Site Minicell - Bourke & Spencer Bourke & Spencer Street MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134841,-37.812998,144.951557,Optus Site Minicell - Spencer & Latrobe 318-326 Spencer St MELBOURNE,VIC,2,3003,Within 10 meters,,KX3P
134853,-37.81746,144.932565,Optus Site MAB Docklands Tower 4 Cnr Pitt and Dudley St PORT MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134857,-37.82091,144.955155,Optus Site Minicell - Flinders and Spencer 2 Spencer St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
134872,-37.820123,144.957552,Optus Site Minicell - King & Flinders King & Flinders St MELBOURNE,VIC,2,3000,Within 10 meters,,KX3P
